मई,मैं हूँ प्रबंधक/नेतृत्वकर्ता,2.7,बाल संसद/मीना मंच कार्य,"बाल संसद और मीना मंच के सदस्य अपने नोडल शिक्षक की सहायता से पूर्व में किए गए कार्यों, नवाचारों तथा उसके प्रभाव से साथियों को अवगत कराएंगे।"
मई,मैं हूँ प्रबंधक/नेतृत्वकर्ता,2.8,ब्लैक बोर्ड का रखरखाव,"इसके अंतर्गत ब्लैक बोर्ड की साफ-सफाई, सजावट एवं आवश्यकतानुसार कालीकरण का कार्य किया/कराया जा सकता है।"
मई,मैं हूँ प्रबंधक/नेतृत्वकर्ता,2.9,मध्याह्न भोजन प्रबंध,"चेतना सत्र में स्वच्छता संबंधी चर्चा करें जिसमें भोजन के पहले हाथ धोने तथा भोजन के लिए बैठने के उचित तरीके तथा उसकी आवश्यकता का जिक्र हो।"
मई,मैं हूँ प्रबंधक/नेतृत्वकर्ता,2.10,बायोडायवर्सिटी रजिस्टर,"विद्यालय परिसर में उपलब्ध विभिन्न प्रकार के पेड़-पौधों का नाम, संरचना, प्रकृति, रंग, गुण आदि के आधार पर पहचान करते हुए उनको रजिस्टर में दर्ज किया जा सकता है।"
जून,मैं हूँ कलाकार,3.1,"ड्राइंग, पेंटिंग, स्केचिंग","स्केचिंग का अर्थ रेखाचित्र है। ड्राइंग/ पेंटिंग का तात्पर्य कागज पर रेखा के माध्यम से चित्र बनाकर उसमें ब्रश के द्वारा रंगों को भरना होता है।"
जून,मैं हूँ कलाकार,3.2,थ्रेड पेंटिंग,"एक सादा कागज लेकर उसे आधा मोड़ें, फिर मोटा धागा लेकर उसे रंगों में डुबोएं और कागज के अंदर किसी भी रूप में रखकर दबाकर धागे को खींचें।"
जून,मैं हूँ कलाकार,3.3,मार्बल पेंटिंग,"विभिन्न रंगों के इनेमल पेंट को पानी की सतह पर गिरा कर उसके ऊपर सादा चार्ट पेपर रखकर आकृतियां बनाना जो मार्बल जैसा प्रतीत होता है।"
जून,मैं हूँ कलाकार,3.4,सैंड पेंटिंग,"कागज पर फेविकोल के द्वारा कोई आकृति बनाकर उस पर बालू या रेत डालना, जिससे वह आकृति बालू से बनी दिखती है।"
जून,मैं हूँ कलाकार,3.5,रंगोली,"चावल या गेहूं के आटे, सिंदूर, अबीर, हल्दी पाउडर और अन्य प्राकृतिक रंगों का प्रयोग कर जमीन या दीवारों पर चित्र बनाना।"
जून,मैं हूँ कलाकार,3.6,मिट्टी/क्ले मोल्डिंग,"मिट्टी को गूँथकर विभिन्न प्रकार की मूर्तियां, खिलौने एवं सामग्री बनाना जैसे- घड़ा, दीया, गुड़िया आदि।"
जून,मैं हूँ कलाकार,3.7,कागज का मुखौटा/टोपी,"कागज और चार्ट पेपर के द्वारा विभिन्न जानवरों, मानव आदि का मुखौटा और टोपी का निर्माण करना।"
जून,मैं हूँ कलाकार,3.8,"कोलाज, मूर्तिकला प्रशिक्षण","विभिन्न प्रकार की वस्तुओं जैसे कागज, कपड़ा, गोंद, प्लास्टिक लकड़ी आदि को एक पृष्ठ में सजाने से बनी दृश्य कला।"
जून,मैं हूँ कलाकार,3.9,थम्ब/लीफ/वेजिटेबल पेंटिंग,"अंगूठे, पत्तों या कटी हुई सब्जियों (भिंडी, आलू आदि) पर रंग लगाकर कागज पर आकृतियां उकेरने की कला।"
जून,मैं हूँ कलाकार,3.10,कला मेला,"विद्यालय में कला उत्सव मनाया जाए जिसमें बच्चों द्वारा नाटक, गीत-संगीत, नृत्य एवं चित्रकारी का प्रदर्शन किया जाए।"
जुलाई,मैं हूँ स्वच्छता प्रेमी,4.1,व्यक्तिगत स्वच्छता अभ्यास,"बच्चों में व्यक्तिगत स्वच्छता की अवधारणा की समझ हेतु गतिविधियां और अच्छा पालन करने वाले बच्चों को प्रोत्साहित करना।"
जुलाई,मैं हूँ स्वच्छता प्रेमी,4.2,स्वास्थ्य एवं अपशिष्ट प्रबंधन,"स्वास्थ्य, स्वच्छता और अपशिष्ट प्रबंधन संबंधित पेंटिंग, निबंध लेखन, नारा लेखन आदि गतिविधियां।"
जुलाई,मैं हूँ स्वच्छता प्रेमी,4.3,जीवन कौशल,"स्वयं की समझ, सृजनात्मकता, नेतृत्व क्षमता, डिजिटल साक्षरता, सामाजिक दक्षता आदि के विकास हेतु गतिविधियां।"
जुलाई,मैं हूँ स्वच्छता प्रेमी,4.4,MHM गतिविधियां,"कक्षा 6 और ऊपर की बालिकाओं के लिए नाटक, रोल प्ले और बातचीत के माध्यम से जागरूकता बढ़ाना।"
जुलाई,मैं हूँ स्वच्छता प्रेमी,4.5,तरंग कार्यक्रम,"किशोरावस्था के महत्व, नैसर्गिक परिवर्तन पर वार्तालाप, नृत्य-संगीत प्रतियोगिता और तनाव प्रबंधन हेतु हास-पररिहास प्रतियोगिता।"
जुलाई,मैं हूँ स्वच्छता प्रेमी,4.6,मूल्य परक शिक्षा,"पंचतंत्र की कहानियाँ, महापुरुषों की जीवनी, मूल्यपरक दोहे, रोल प्ले और फिल्म आदि के माध्यम से मूल्यों की समझ।"
जुलाई,मैं हूँ स्वच्छता प्रेमी,4.7,जीरो वेस्ट कैंपस,"रसोई घर से निकले अवशिष्ट से खाद तैयार करना और पोषण वाटिका में इसका प्रयोग करना।"
जुलाई,मैं हूँ स्वच्छता प्रेमी,4.8,साबुन बैंक की स्थापना,"छात्रों और शिक्षकों के सहयोग से साबुन बैंक की स्थापना और उसे समृद्ध बनाने के उपायों पर चर्चा।"
